 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  1.16947E+03,  0.00000E+00,  0.00000E+00,  1.38886E+01,  2.00000E-01, Sun Feb  2 15:03:52 2020
   2,  1.48228E+03,  2.67485E+01,  2.67485E+01,  1.80976E+02,  2.00000E-01, Sun Feb  2 15:03:52 2020
   3,  1.16947E+03,  1.68131E-09, -2.67485E+01,  1.10733E+01,  2.00000E-01, Sun Feb  2 15:03:53 2020
   4,  1.48228E+03,  2.67484E+01,  2.67484E+01,  3.91855E+02,  2.00000E-01, Sun Feb  2 15:03:54 2020
   5,  1.16947E+03,  3.66365E-09, -2.67484E+01,  1.30074E+01,  2.00000E-01, Sun Feb  2 15:03:55 2020
   6,  1.48228E+03,  2.67483E+01,  2.67483E+01,  5.34527E+02,  2.00000E-01, Sun Feb  2 15:03:56 2020
   7,  1.16947E+03,  5.94143E-09, -2.67483E+01,  1.47237E+01,  2.00000E-01, Sun Feb  2 15:03:57 2020
   8,  1.48228E+03,  2.67482E+01,  2.67482E+01,  5.98964E+02,  2.00000E-01, Sun Feb  2 15:03:57 2020
   9,  1.16947E+03,  8.52518E-09, -2.67482E+01,  1.63348E+01,  2.00000E-01, Sun Feb  2 15:03:58 2020
  10,  1.48228E+03,  2.67481E+01,  2.67481E+01,  5.98913E+02,  2.00000E-01, Sun Feb  2 15:03:59 2020
  11,  1.16947E+03,  1.14004E-08, -2.67481E+01,  1.79462E+01,  2.00000E-01, Sun Feb  2 15:04:00 2020
  12,  1.48228E+03,  2.67480E+01,  2.67480E+01,  6.12163E+02,  2.00000E-01, Sun Feb  2 15:04:01 2020
  13,  1.16947E+03,  1.45811E-08, -2.67480E+01,  1.92842E+01,  2.00000E-01, Sun Feb  2 15:04:02 2020
  14,  1.48227E+03,  2.67478E+01,  2.67478E+01,  7.12199E+02,  2.00000E-01, Sun Feb  2 15:04:02 2020
  15,  1.16947E+03,  1.80856E-08, -2.67478E+01,  1.99584E+01,  2.00000E-01, Sun Feb  2 15:04:03 2020
  16,  1.48227E+03,  2.67477E+01,  2.67477E+01,  8.34126E+02,  2.00000E-01, Sun Feb  2 15:04:04 2020
  17,  1.16947E+03,  2.18347E-08, -2.67477E+01,  2.10687E+01,  2.00000E-01, Sun Feb  2 15:04:05 2020
  18,  1.48227E+03,  2.67476E+01,  2.67476E+01,  9.54942E+02,  2.00000E-01, Sun Feb  2 15:04:06 2020
  19,  1.16947E+03,  2.59151E-08, -2.67476E+01,  2.34252E+01,  2.00000E-01, Sun Feb  2 15:04:07 2020
  20,  1.48227E+03,  2.67475E+01,  2.67475E+01,  1.10855E+03,  2.00000E-01, Sun Feb  2 15:04:07 2020
