---------------------------------
f0: compromise_function
f1: strain_energy_1
f2: strain_energy_2
---------------------------------
 itr,     f0_value,     f1_value,     f2_value, ||df0dx_st||, ||df1dx_st||, ||df2dx_st||
   1,  1.16947E+03,  7.94458E+02,  3.75010E+02,  1.14993E+04,  1.14993E+04,  5.48279E+03
   2,  1.48228E+03,  1.06476E+03,  4.17520E+02,  1.67478E+05,  1.67478E+05,  4.66971E+04
   3,  1.16947E+03,  7.94458E+02,  3.75010E+02,  1.14993E+04,  1.14993E+04,  5.48279E+03
   4,  1.48228E+03,  1.06476E+03,  4.17520E+02,  1.67478E+05,  1.67478E+05,  4.66971E+04
   5,  1.16947E+03,  7.94458E+02,  3.75010E+02,  1.14993E+04,  1.14993E+04,  5.48278E+03
   6,  1.48228E+03,  1.06476E+03,  4.17520E+02,  1.67477E+05,  1.67477E+05,  4.66970E+04
   7,  1.16947E+03,  7.94458E+02,  3.75010E+02,  1.14993E+04,  1.14993E+04,  5.48278E+03
   8,  1.48228E+03,  1.06476E+03,  4.17520E+02,  1.67477E+05,  1.67477E+05,  4.66970E+04
   9,  1.16947E+03,  7.94458E+02,  3.75010E+02,  1.14994E+04,  1.14994E+04,  5.48278E+03
  10,  1.48228E+03,  1.06476E+03,  4.17520E+02,  1.67476E+05,  1.67476E+05,  4.66970E+04
  11,  1.16947E+03,  7.94458E+02,  3.75010E+02,  1.14994E+04,  1.14994E+04,  5.48278E+03
  12,  1.48228E+03,  1.06476E+03,  4.17520E+02,  1.67476E+05,  1.67476E+05,  4.66969E+04
  13,  1.16947E+03,  7.94458E+02,  3.75010E+02,  1.14994E+04,  1.14994E+04,  5.48278E+03
  14,  1.48227E+03,  1.06475E+03,  4.17520E+02,  1.67476E+05,  1.67476E+05,  4.66969E+04
  15,  1.16947E+03,  7.94458E+02,  3.75010E+02,  1.14994E+04,  1.14994E+04,  5.48278E+03
  16,  1.48227E+03,  1.06475E+03,  4.17520E+02,  1.67475E+05,  1.67475E+05,  4.66969E+04
  17,  1.16947E+03,  7.94458E+02,  3.75010E+02,  1.14994E+04,  1.14994E+04,  5.48278E+03
  18,  1.48227E+03,  1.06475E+03,  4.17520E+02,  1.67475E+05,  1.67475E+05,  4.66968E+04
  19,  1.16947E+03,  7.94458E+02,  3.75010E+02,  1.14994E+04,  1.14994E+04,  5.48277E+03
  20,  1.48227E+03,  1.06475E+03,  4.17520E+02,  1.67474E+05,  1.67474E+05,  4.66968E+04
