 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  4.01013E+04,  0.00000E+00,  0.00000E+00,  3.25188E+04,  2.00000E-01, Thu Feb  6 17:16:32 2020
   2,  5.06872E+04,  2.63979E+01,  2.63979E+01,  3.25320E+04,  2.00000E-01, Thu Feb  6 17:16:33 2020
   3,  3.72943E+04, -6.99990E+00, -3.33978E+01,  2.92055E+04,  2.00000E-01, Thu Feb  6 17:16:34 2020
   4,  4.68447E+04,  1.68159E+01,  2.38158E+01,  3.23881E+04,  2.00000E-01, Thu Feb  6 17:16:35 2020
   5,  8.86363E+02, -9.77897E+01, -1.14606E+02,  1.46141E+03,  2.00000E-01, Thu Feb  6 17:16:35 2020
   6,  3.54773E+04, -1.15307E+01,  8.62590E+01,  2.65648E+04,  2.00000E-01, Thu Feb  6 17:16:36 2020
   7,  8.41148E+03, -7.90244E+01, -6.74937E+01,  1.80501E+03,  2.00000E-01, Thu Feb  6 17:16:37 2020
   8,  2.75375E+04, -3.13301E+01,  4.76943E+01,  2.30871E+04,  2.00000E-01, Thu Feb  6 17:16:37 2020
   9,  2.68489E+04, -3.30474E+01, -1.71729E+00,  3.83879E+03,  2.00000E-01, Thu Feb  6 17:16:38 2020
  10,  2.71852E+04, -3.22088E+01,  8.38626E-01,  5.34089E+03,  2.00000E-01, Thu Feb  6 17:16:39 2020
