---------------------------------
f0: compromise_function
f1: strain_energy_1
f2: strain_energy_2
---------------------------------
 itr,     f0_value,     f1_value,     f2_value, ||df0dx_st||, ||df1dx_st||, ||df2dx_st||
   1,  4.01013E+04,  3.80248E+02,  7.94421E+04,  3.32793E+04,  3.32793E+04,  3.20525E+04
   2,  5.06872E+04,  1.54187E+03,  9.82907E+04,  3.32936E+04,  3.32936E+04,  3.20616E+04
   3,  3.72943E+04,  3.81829E+02,  7.38249E+04,  3.11668E+04,  3.11668E+04,  2.99341E+04
   4,  4.68447E+04,  1.54226E+03,  9.06049E+04,  3.06239E+04,  3.06239E+04,  2.94018E+04
   5,  8.86363E+02,  3.82246E+02,  1.00823E+03,  1.35561E+03,  1.35561E+03,  2.09680E+02
   6,  3.54773E+04,  1.54672E+03,  6.78613E+04,  2.36027E+04,  2.36027E+04,  2.24093E+04
   7,  8.41148E+03,  3.06870E+02,  1.62092E+04,  1.63018E+03,  1.63018E+03,  1.62392E+03
   8,  2.75375E+04,  1.50347E+03,  5.20681E+04,  2.11029E+04,  2.11029E+04,  2.01369E+04
   9,  2.68489E+04,  7.77900E+02,  5.21419E+04,  4.84459E+03,  4.84459E+03,  4.80180E+03
  10,  2.71852E+04,  1.72352E+03,  5.09233E+04,  4.10410E+03,  4.10410E+03,  3.97049E+03
