 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  8.35502E+06,  0.00000E+00,  0.00000E+00,  2.60467E+06,  1.00000E-01, Mon Jan  6 16:21:31 2020
   2,  1.42744E+06, -8.29151E+01, -8.29151E+01,  8.64918E+05,  1.00000E-01, Mon Jan  6 16:21:31 2020
   3,  7.63327E+05, -9.08638E+01, -7.94872E+00,  2.74011E+05,  1.00000E-01, Mon Jan  6 16:21:31 2020
   4,  1.24367E+05, -9.85115E+01, -7.64762E+00,  1.12441E+05,  1.00000E-01, Mon Jan  6 16:21:32 2020
   5,  1.29021E+05, -9.84558E+01,  5.56938E-02,  1.64421E+05,  1.00000E-01, Mon Jan  6 16:21:32 2020
   6,  7.60855E+04, -9.90893E+01, -6.33574E-01,  1.17721E+05,  1.00000E-01, Mon Jan  6 16:21:33 2020
   7,  4.95207E+04, -9.94073E+01, -3.17950E-01,  8.33778E+04,  1.00000E-01, Mon Jan  6 16:21:33 2020
   8,  4.00393E+04, -9.95208E+01, -1.13481E-01,  7.18841E+04,  1.00000E-01, Mon Jan  6 16:21:33 2020
   9,  2.90897E+04, -9.96518E+01, -1.31054E-01,  5.19532E+04,  1.00000E-01, Mon Jan  6 16:21:34 2020
  10,  2.48390E+04, -9.97027E+01, -5.08763E-02,  4.82900E+04,  1.00000E-01, Mon Jan  6 16:21:34 2020
  11,  2.37186E+04, -9.97161E+01, -1.34096E-02,  4.68328E+04,  1.00000E-01, Mon Jan  6 16:21:34 2020
  12,  2.27015E+04, -9.97283E+01, -1.21743E-02,  4.59780E+04,  1.00000E-01, Mon Jan  6 16:21:35 2020
  13,  2.47155E+04, -9.97042E+01,  2.41054E-02,  5.02052E+04,  1.00000E-01, Mon Jan  6 16:21:35 2020
  14,  2.47094E+04, -9.97043E+01, -7.28402E-05,  5.01692E+04,  1.00000E-01, Mon Jan  6 16:21:36 2020
  15,  2.47589E+04, -9.97037E+01,  5.91949E-04,  5.01952E+04,  1.00000E-01, Mon Jan  6 16:21:36 2020
  16,  2.47589E+04, -9.97037E+01, -6.05776E-08,  5.01051E+04,  1.00000E-01, Mon Jan  6 16:21:36 2020
  17,  2.47589E+04, -9.97037E+01,  2.00706E-10,  5.00025E+04,  1.00000E-01, Mon Jan  6 16:21:37 2020
  18,  2.47589E+04, -9.97037E+01, -4.78488E-13,  4.98875E+04,  1.00000E-01, Mon Jan  6 16:21:37 2020
