 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  7.91986E+06,  0.00000E+00,  0.00000E+00,  2.50325E+06,  5.00000E-01, Mon Dec 16 16:48:43 2019
   2,  1.34412E+06, -8.30285E+01, -8.30285E+01,  8.32241E+05,  5.00000E-01, Mon Dec 16 16:48:43 2019
   3,  1.98337E+06, -7.49570E+01,  8.07146E+00,  1.18252E+06,  5.00000E-01, Mon Dec 16 16:48:44 2019
   4,  8.03760E+08,  1.00487E+04,  1.01236E+04,  4.15752E+07,  5.00000E-01, Mon Dec 16 16:48:44 2019
   5,  1.62034E+14,  2.04591E+09,  2.04590E+09,  7.21820E+10,  5.00000E-01, Mon Dec 16 16:48:44 2019
   6,  1.37248E+20,  1.73296E+15,  1.73295E+15,  1.63409E+15,  5.00000E-01, Mon Dec 16 16:48:45 2019
   7,  2.12365E+21,  2.68142E+16,  2.50812E+16,  9.38347E+15,  5.00000E-01, Mon Dec 16 16:48:45 2019
   8,  4.33771E+21,  5.47700E+16,  2.79558E+16,  1.58615E+16,  5.00000E-01, Mon Dec 16 16:48:45 2019
   9,  1.62465E+22,  2.05137E+17,  1.50367E+17,  1.39220E+16,  5.00000E-01, Mon Dec 16 16:48:46 2019
  10,  1.05366E+23,  1.33040E+18,  1.12526E+18,  1.18221E+17,  5.00000E-01, Mon Dec 16 16:48:46 2019
  11,  1.32466E+23,  1.67258E+18,  3.42181E+17,  1.88320E+17,  5.00000E-01, Mon Dec 16 16:48:46 2019
  12,  8.66098E+23,  1.09358E+19,  9.26319E+18,  1.75935E+17,  5.00000E-01, Mon Dec 16 16:48:47 2019
  13,  2.75496E+24,  3.47854E+19,  2.38497E+19,  5.25982E+17,  5.00000E-01, Mon Dec 16 16:48:47 2019
  14,  3.33071E+24,  4.20551E+19,  7.26970E+18,  4.62011E+17,  5.00000E-01, Mon Dec 16 16:48:47 2019
  15, -1.34483E+23, -1.69804E+18, -4.37532E+19,  3.89521E+17,  5.00000E-01, Mon Dec 16 16:48:48 2019
  16,  2.44721E+24,  3.08996E+19,  3.25977E+19,  5.34052E+17,  5.00000E-01, Mon Dec 16 16:48:48 2019
  17,  5.37473E+24,  6.78639E+19,  3.69643E+19,  5.81838E+17,  5.00000E-01, Mon Dec 16 16:48:48 2019
  18,  3.87950E+24,  4.89845E+19, -1.88794E+19,  7.40226E+17,  5.00000E-01, Mon Dec 16 16:48:49 2019
  19,  1.78028E+24,  2.24787E+19, -2.65057E+19,  1.04359E+18,  5.00000E-01, Mon Dec 16 16:48:49 2019
  20,  1.70409E+26,  2.15166E+21,  2.12918E+21,  6.47920E+20,  5.00000E-01, Mon Dec 16 16:48:50 2019
